gender,age,entry_year,field_of_study,most_used,usage,usage_schedule,device,habits1,habits2,habits3,habits4,study1,study2,study3,study4,mental1,mental2,mental3,mental4,lifestyle1,lifestyle2,lifestyle3,lifestyle4,usagerate1,usagerate2,usagerate3,usagerate4,usagerate5,usagerate6,track_usage,usage_per_day,reduce
Nam,21 - 23,K19,Công nghệ Thông tin,"Facebook, TikTok, YouTube",24:00:00,"Buổi sáng, Buổi trưa, Buổi chiều, Buổi tối, Trước khi đi ngủ, Cả ngày, Không có khung giờ cố định","Điện thoại di động, Máy tính xách tay",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Có,10:00:00,Không
Nam,18 - 20,K19,Công nghệ Thông tin,"Facebook, TikTok, YouTube",1:24:43,Buổi tối,Điện thoại di động,3,2,1,3,2,3,3,3,2,4,3,3,3,2,3,2,2,2,2,2,2,2,Không,,Không
Nam,18 - 20,K19,Công nghệ Thông tin,"Facebook, Instagram, YouTube",3:00:00,"Buổi tối, Trước khi đi ngủ","Điện thoại di động, Máy tính xách tay",3,3,3,3,5,3,3,4,3,1,4,1,3,2,3,2,2,2,2,4,4,3,Không,,"Có, thành công"
Nam,18 - 20,K20,Công nghệ Thông tin,"Facebook, YouTube, Twitter/X",2:00:00,"Buổi sáng, Buổi trưa, Buổi chiều, Buổi tối, Trước khi đi ngủ","Điện thoại di động, Máy tính xách tay",5,5,2,5,5,4,3,5,3,4,4,5,4,2,3,2,1,1,1,2,2,1,Không,,"Có, thành công"
Nữ,21 - 23,K18,Khối ngành Kinh tế khác,"Facebook, TikTok, YouTube",5:00:00,Trước khi đi ngủ,"Điện thoại di động, Máy tính xách tay",5,5,2,5,4,5,5,2,1,4,5,3,4,4,4,1,4,2,4,1,4,2,Có,5:00:00,"Có, nhưng không thành công"
Nam,18 - 20,K20,Công nghệ Thông tin,"Facebook, TikTok, YouTube",2:00:00,"Buổi sáng, Buổi tối","Điện thoại di động, Máy tính bảng",3,2,1,4,2,5,3,4,2,3,4,2,4,3,3,4,2,3,2,3,4,3,Có,2:00:00,"Có, thành công"
Nam,18 - 20,K20,Khối ngành Kỹ thuật khác,"Facebook, Instagram, TikTok",7:00:00,Không có khung giờ cố định,Điện thoại di động,4,2,2,5,5,4,2,4,4,1,4,1,2,1,4,4,4,2,2,3,4,4,Có,7:00:00,"Có, nhưng không thành công"
Nam,Trên 23,K20,Công nghệ Thông tin,"Facebook, TikTok, YouTube",3:00:00,Không có khung giờ cố định,"Điện thoại di động, Máy tính xách tay",5,5,5,5,4,5,5,3,3,4,5,1,2,2,2,2,2,4,3,3,3,3,Không,,"Có, nhưng không thành công"
Nam,21 - 23,K18,Công nghệ Thông tin,"Facebook, YouTube, Twitter/X",5:00:00,Không có khung giờ cố định,"Điện thoại di động, Máy tính xách tay",4,4,1,4,4,4,5,4,1,1,4,1,4,3,4,1,3,1,2,4,4,2,Không,,"Có, nhưng không thành công"
Nam,18 - 20,K19,Công nghệ Thông tin,"Facebook, Instagram, Threads",4:00:00,Không có khung giờ cố định,"Điện thoại di động, Máy tính xách tay",4,4,2,3,4,4,4,5,2,1,4,1,3,2,4,3,2,2,2,4,4,4,Không,,"Có, nhưng không thành công"
Nam,18 - 20,K19,Kiến trúc,"Facebook, Instagram, TikTok",10:00:00,Không có khung giờ cố định,"Điện thoại di động, Máy tính bảng",4,3,3,4,4,4,5,4,3,3,4,4,4,3,4,3,3,3,3,4,4,3,Không,,"Có, nhưng không thành công"
Nam,18 - 20,K19,Công nghệ Thông tin,"YouTube, LinkedIn, Quora",1:00:00,Buổi trưa,Máy tính xách tay,3,4,3,4,1,5,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,Có,0:20:00,Không
Nam,18 - 20,K19,Quản trị Kinh doanh,"Instagram, Threads, TikTok",5:00:00,Không có khung giờ cố định,"Điện thoại di động, Máy tính xách tay",4,3,2,4,4,3,3,4,4,4,2,4,5,3,4,4,4,4,4,5,3,4,Có,3:00:00,"Có, thành công"
Nam,18 - 20,K20,Khối ngành Kinh tế khác,"Instagram, TikTok, YouTube",5:00:00,"Buổi trưa, Buổi tối, Trước khi đi ngủ",Điện thoại di động,5,4,2,5,3,4,4,3,2,2,3,2,3,2,3,3,3,3,2,2,2,2,Không,5:00:00,Không
Nam,21 - 23,K19,Công nghệ Thông tin,"Facebook, YouTube",7:00:00,Không có khung giờ cố định,"Điện thoại di động, Máy tính xách tay",5,1,1,5,3,3,3,3,1,3,5,2,3,1,3,1,1,1,1,3,3,3,Không,,"Có, thành công"
